first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
LeSean,McCoy,RB,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,4000,11,0,2.9,7.1,0.7,0.18,,
Byron,Pringle,WR,,11/22/2020,Primetime,KC,LV,-7,56,31.5,3000,26,0,3,6.6,0.7,0.23,,
Deon,Yelder,TE,,11/22/2020,Primetime,KC,LV,-7,56,31.5,2500,30,0,1,2.1,0.7,0.28,,
Johnny,Mundt,TE,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,2500,24,0,1.9,7.8,0.6,0.24,,
Alec,Ingold,RB,Q,11/22/2020,Primetime,LV,KC,7,56,24.5,4000,24,0.3,2.9,4.8,0.2,0.05,,
Ke'Shawn,Vaughn,RB,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,4000,11,0,4.1,10.6,0.1,0.03,,
Anthony,Sherman,RB,,11/22/2020,Primetime,KC,LV,-7,56,31.5,4000,3,0,1.5,7.5,0.1,0.03,,
Sammy,Watkins,WR,O,11/22/2020,Primetime,KC,LV,-7,56,31.5,4000,26,2.1,10.9,21.5,0,0,,
Nick,O'Leary,TE,O,11/22/2020,Primetime,LV,KC,7,56,24.5,2500,8,0,4.4,13,0,0,,
Tanner,Hudson,TE,O,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,2500,14,0,0.8,2.2,0,0,,
