Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Bryan Edwards (15809633),Bryan Edwards,15809633,CPT,1800,KC@LV 11/22/2020 08:20PM ET,LV,4.38
WR,Zay Jones (15809634),Zay Jones,15809634,CPT,1500,KC@LV 11/22/2020 08:20PM ET,LV,4.94
RB,Le'Veon Bell (15809588),Le'Veon Bell,15809588,FLEX,1400,KC@LV 11/22/2020 08:20PM ET,KC,5.26
WR,Bryan Edwards (15809589),Bryan Edwards,15809589,FLEX,1200,KC@LV 11/22/2020 08:20PM ET,LV,4.38
TE,Jason Witten (15809635),Jason Witten,15809635,CPT,1200,KC@LV 11/22/2020 08:20PM ET,LV,3.09
WR,Zay Jones (15809590),Zay Jones,15809590,FLEX,1000,KC@LV 11/22/2020 08:20PM ET,LV,4.94
RB,Jalen Richard (15809636),Jalen Richard,15809636,CPT,900,KC@LV 11/22/2020 08:20PM ET,LV,3.92
TE,Jason Witten (15809591),Jason Witten,15809591,FLEX,800,KC@LV 11/22/2020 08:20PM ET,LV,3.09
RB,Jalen Richard (15809592),Jalen Richard,15809592,FLEX,600,KC@LV 11/22/2020 08:20PM ET,LV,3.92
RB,Darrel Williams (15809637),Darrel Williams,15809637,CPT,600,KC@LV 11/22/2020 08:20PM ET,KC,3.88
RB,Darrel Williams (15809593),Darrel Williams,15809593,FLEX,400,KC@LV 11/22/2020 08:20PM ET,KC,3.88
RB,Alec Ingold (15809638),Alec Ingold,15809638,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,3.11
TE,Foster Moreau (15809639),Foster Moreau,15809639,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,4.1
WR,Byron Pringle (15809640),Byron Pringle,15809640,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,3.52
RB,Anthony Sherman (15809641),Anthony Sherman,15809641,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,1.92
TE,Deon Yelder (15809642),Deon Yelder,15809642,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,1.5
TE,Nick Keizer (15809643),Nick Keizer,15809643,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0.91
RB,Darwin Thompson (15809644),Darwin Thompson,15809644,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,1.05
RB,Theo Riddick (15809645),Theo Riddick,15809645,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,1.3
WR,Marcus Kemp (15809646),Marcus Kemp,15809646,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0.7
TE,Ricky Seals-Jones (15809647),Ricky Seals-Jones,15809647,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0
TE,Derek Carrier (15809648),Derek Carrier,15809648,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,James Winchester (15809649),James Winchester,15809649,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Rico Gafford (15809650),Rico Gafford,15809650,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Gehrig Dieter (15809651),Gehrig Dieter,15809651,CPT,300,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Keelan Doss (15809652),Keelan Doss,15809652,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Tyrell Williams (15809653),Tyrell Williams,15809653,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,Nick O'Leary (15809654),Nick O'Leary,15809654,CPT,300,KC@LV 11/22/2020 08:20PM ET,LV,0
RB,Alec Ingold (15809594),Alec Ingold,15809594,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,3.11
TE,Foster Moreau (15809595),Foster Moreau,15809595,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,4.1
WR,Byron Pringle (15809596),Byron Pringle,15809596,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,3.52
RB,Anthony Sherman (15809597),Anthony Sherman,15809597,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,1.92
TE,Deon Yelder (15809598),Deon Yelder,15809598,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,1.5
TE,Nick Keizer (15809599),Nick Keizer,15809599,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0.91
RB,Darwin Thompson (15809600),Darwin Thompson,15809600,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,1.05
RB,Theo Riddick (15809601),Theo Riddick,15809601,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,1.3
WR,Marcus Kemp (15809602),Marcus Kemp,15809602,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0.7
TE,Ricky Seals-Jones (15809603),Ricky Seals-Jones,15809603,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0
TE,Derek Carrier (15809604),Derek Carrier,15809604,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,James Winchester (15809605),James Winchester,15809605,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Rico Gafford (15809606),Rico Gafford,15809606,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Gehrig Dieter (15809607),Gehrig Dieter,15809607,FLEX,200,KC@LV 11/22/2020 08:20PM ET,KC,0
WR,Keelan Doss (15809608),Keelan Doss,15809608,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
WR,Tyrell Williams (15809609),Tyrell Williams,15809609,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
TE,Nick O'Leary (15809610),Nick O'Leary,15809610,FLEX,200,KC@LV 11/22/2020 08:20PM ET,LV,0
